Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,27T
15/6/2018,9,n/a,n/a,14,16,n/a,18,15,13,n/a,19,n/a,n/a,n/a,13,n/a,11
16/6/2018,14,n/a,n/a,14,17,n/a,17,16,15,n/a,20,n/a,n/a,n/a,19,n/a,14
17/6/2018,15,n/a,n/a,12,17,n/a,20,16,14,n/a,20,n/a,n/a,n/a,12,n/a,n/a
18/6/2018,15,n/a,n/a,18,19,n/a,22,23,19,n/a,26,n/a,n/a,n/a,21,n/a,n/a
19/6/2018,21,n/a,n/a,21,23,n/a,24,23,22,n/a,27,n/a,n/a,n/a,26,n/a,19
20/6/2018,12,n/a,n/a,10,16,n/a,15,13,14,n/a,19,n/a,n/a,n/a,12,n/a,12
21/6/2018,13,n/a,n/a,13,17,n/a,15,16,14,n/a,20,n/a,n/a,n/a,15,n/a,10
22/6/2018,18,n/a,n/a,22,22,n/a,22,21,21,n/a,26,n/a,n/a,n/a,16,n/a,18
23/6/2018,22,n/a,n/a,19,23,n/a,22,24,22,n/a,28,n/a,n/a,n/a,18,n/a,21
24/6/2018,17,n/a,n/a,14,20,n/a,19,17,18,n/a,25,n/a,n/a,n/a,21,n/a,16
25/6/2018,13,n/a,n/a,7,14,n/a,15,13,14,n/a,20,n/a,n/a,n/a,14,n/a,15
26/6/2018,11,n/a,n/a,15,15,n/a,18,18,14,n/a,23,n/a,n/a,n/a,15,n/a,n/a
27/6/2018,14,n/a,n/a,14,17,n/a,19,18,17,n/a,25,n/a,n/a,n/a,19,n/a,22
28/6/2018,13,n/a,n/a,13,18,n/a,19,19,20,n/a,23,n/a,n/a,n/a,19,n/a,25
29/6/2018,18,n/a,n/a,15,20,n/a,21,21,23,n/a,23,n/a,n/a,n/a,16,n/a,18
30/6/2018,10,n/a,n/a,12,16,n/a,14,18,17,n/a,19,n/a,n/a,n/a,10,n/a,13
1/7/2018,7,n/a,n/a,9,13,n/a,16,13,15,n/a,19,n/a,n/a,n/a,11,n/a,12
2/7/2018,9,n/a,n/a,8,11,n/a,14,12,13,n/a,18,n/a,n/a,n/a,12,n/a,10
3/7/2018,13,n/a,n/a,11,14,n/a,15,14,14,n/a,20,n/a,n/a,n/a,14,n/a,15
4/7/2018,13,n/a,n/a,10,12,n/a,14,11,13,n/a,21,n/a,n/a,n/a,15,n/a,14
5/7/2018,10,n/a,n/a,9,15,n/a,16,14,12,n/a,19,n/a,n/a,n/a,9,n/a,15
6/7/2018,13,n/a,n/a,13,15,n/a,16,13,14,n/a,20,n/a,n/a,n/a,12,n/a,14
7/7/2018,15,n/a,n/a,16,16,n/a,20,17,17,n/a,22,n/a,n/a,n/a,14,n/a,19
8/7/2018,19,n/a,n/a,20,22,n/a,23,23,22,n/a,25,n/a,n/a,n/a,23,n/a,20
9/7/2018,18,n/a,n/a,16,18,n/a,20,21,19,n/a,28,n/a,n/a,n/a,20,n/a,21
10/7/2018,25,n/a,n/a,n/a,22,n/a,24,23,22,n/a,31,n/a,n/a,n/a,21,n/a,21
11/7/2018,13,n/a,n/a,n/a,13,n/a,16,14,12,n/a,21,n/a,n/a,n/a,21,n/a,17
12/7/2018,15,n/a,n/a,12,15,n/a,17,15,15,n/a,20,n/a,n/a,n/a,15,n/a,17
13/7/2018,13,n/a,n/a,12,15,n/a,16,15,15,n/a,20,n/a,n/a,n/a,10,n/a,16
14/7/2018,17,n/a,n/a,16,21,n/a,24,23,20,n/a,26,n/a,n/a,n/a,14,n/a,18
15/7/2018,17,n/a,n/a,15,n/a,n/a,19,19,18,n/a,21,n/a,n/a,n/a,13,n/a,11
16/7/2018,20,n/a,n/a,16,n/a,n/a,21,21,18,n/a,26,n/a,n/a,n/a,20,n/a,17
17/7/2018,23,n/a,n/a,n/a,n/a,n/a,23,23,18,n/a,28,n/a,n/a,n/a,16,n/a,15
18/7/2018,13,n/a,n/a,n/a,15,n/a,16,16,12,n/a,18,n/a,n/a,n/a,9,n/a,10
19/7/2018,12,n/a,n/a,10,18,n/a,15,13,13,n/a,21,n/a,n/a,n/a,12,n/a,6
20/7/2018,11,n/a,n/a,12,19,n/a,17,16,15,n/a,26,n/a,n/a,12,13,n/a,8
21/7/2018,16,n/a,n/a,18,18,n/a,20,19,17,n/a,25,n/a,n/a,14,14,n/a,14
22/7/2018,15,n/a,n/a,n/a,18,n/a,19,19,15,n/a,23,n/a,n/a,14,31,n/a,11
23/7/2018,19,n/a,n/a,15,20,n/a,23,21,19,n/a,27,n/a,n/a,n/a,19,n/a,18
24/7/2018,25,n/a,n/a,21,22,n/a,28,24,19,n/a,29,n/a,n/a,23,22,n/a,26
25/7/2018,19,n/a,n/a,20,22,n/a,22,20,19,24,27,n/a,n/a,15,16,n/a,22
26/7/2018,17,n/a,n/a,14,21,n/a,21,20,19,23,25,n/a,n/a,12,15,n/a,23
27/7/2018,19,n/a,n/a,18,22,n/a,22,21,18,26,28,n/a,n/a,17,16,n/a,23
28/7/2018,14,n/a,n/a,16,15,n/a,18,15,14,22,23,n/a,n/a,13,16,n/a,19
29/7/2018,14,n/a,n/a,17,18,n/a,20,17,18,22,24,n/a,n/a,14,15,n/a,22
30/7/2018,15,n/a,n/a,15,18,n/a,20,19,19,21,24,n/a,n/a,14,17,n/a,26
31/7/2018,17,n/a,n/a,12,20,n/a,21,20,19,23,26,n/a,n/a,12,14,n/a,21
1/8/2018,18,n/a,n/a,18,15,n/a,21,18,14,17,23,n/a,n/a,14,13,n/a,23
2/8/2018,17,n/a,n/a,13,19,n/a,23,22,17,21,22,n/a,n/a,14,15,n/a,23
3/8/2018,16,n/a,n/a,16,17,n/a,21,16,16,18,24,n/a,n/a,13,13,n/a,25
4/8/2018,12,n/a,n/a,11,17,n/a,18,15,14,22,20,n/a,n/a,10,13,n/a,16
5/8/2018,10,n/a,n/a,11,15,n/a,17,14,13,20,19,n/a,n/a,10,12,n/a,15
6/8/2018,13,n/a,n/a,13,16,n/a,18,16,15,20,24,n/a,n/a,11,12,n/a,16
7/8/2018,15,n/a,n/a,14,20,n/a,22,18,20,27,29,n/a,n/a,14,15,n/a,19
8/8/2018,25,n/a,n/a,18,21,n/a,30,28,21,33,30,n/a,n/a,21,22,n/a,29
9/8/2018,18,n/a,n/a,15,18,n/a,20,17,16,23,23,n/a,n/a,17,18,n/a,26
10/8/2018,18,n/a,n/a,13,18,n/a,19,17,15,25,25,n/a,n/a,16,13,n/a,24
11/8/2018,11,n/a,n/a,11,13,n/a,15,13,10,20,17,n/a,n/a,8,11,n/a,12
